Cluster,Direction,Target,Source,Value
1,RNA -> Niche,Ambp,Rbp2,0.21912389262353765
1,RNA -> Niche,Ambp,Slc44a4,0.3955872126876908
1,RNA -> Niche,Ambp,Sptssb,0.7394386923627957
1,RNA -> Niche,Ambp,Tff1,0.7841874436683279
1,RNA -> Niche,Ambp,Tff2,0.46133470872286675
1,RNA -> Niche,Ambp,Tff3,0.5524907915284432
1,RNA -> Niche,Ambp,Tmem54,0.37845640316226586
1,RNA -> Niche,Apoa1,Akr1b7,0.283610079008864
1,RNA -> Niche,Apoa1,Ambp,0.46943720099728115
1,RNA -> Niche,Apoa1,Apoa1,0.6289302448991706
1,RNA -> Niche,Apoa1,Clca1,0.9999999999999999
1,RNA -> Niche,Apoa1,Degs2,0.5025332497008941
1,RNA -> Niche,Apoa1,Dmbt1,0.6546734269410148
1,RNA -> Niche,Apoa1,Fgb,0.2549322112063758
1,RNA -> Niche,Apoa1,Gpa33,0.27807732373463345
1,RNA -> Niche,Apoa1,Gsta1,0.7204019610957085
1,RNA -> Niche,Apoa1,Kcne3,0.4259881146288095
1,RNA -> Niche,Apoa1,Lypd8,0.9238450779614412
1,RNA -> Niche,Apoa1,Oit1,0.35522403888382
1,RNA -> Niche,Apoa1,Phgr1,0.5952457871429598
1,RNA -> Niche,Apoa1,Rbp2,0.5149222592774592
1,RNA -> Niche,Apoa1,Slc44a4,0.19027016955565476
1,RNA -> Niche,Apoa1,Sptssb,0.5166618283570302
1,RNA -> Niche,Apoa1,Tff1,0.9216159282348444
1,RNA -> Niche,Apoa1,Tff2,0.7257675052271811
